8,16,32,64
0.042201837,0.040347861,0.041418198,0.042889911
0.040844803,0.042087158,0.039774467,0.041360858
0.043272174,0.041934253,0.043807342,0.041379972
0.043119268,0.041934253,0.043367739,0.043807342
0.047629972,0.047974009,0.053268352,0.054682725
0.060760707,0.061773704,0.081498476,0.084881503
0.0796445,0.081727833,0.122840221,0.127561169
0.138073401,0.159537471,0.188685026,0.191991601
0.237882277,0.248604754,0.262060413,0.254931207
0.310531362,0.323470966,0.335416685,0.315252311
0.398203386,0.432893753,0.422438859,0.386467911
0.498738562,0.525554313,0.494074951,0.452561185
0.590405227,0.640825722,0.586639939,0.487194219
0.694743921,0.752656769,0.664487801,0.508352478
0.766647596,0.822152186,0.699541322,0.520011499
0.814583378,0.850573437,0.718520681,0.528115472
0.840615485,0.864870076,0.726127714,0.535034431
0.849178174,0.869094083,0.733944994,0.537213329
0.853516862,0.869667476,0.732989334,0.539201097
0.857721754,0.871597907,0.738283681,0.543902933
0.855714876,0.870298211,0.736009214,0.540825715
