test_1,test_2,test_3,test_4,test_5,test_6,test_7,test_8,test_9,test_10,test_11,test_12,test_13,test_14,test_15,test_16,test_17,test_18,test_19,test_20,test_21,test_22,test_23,test_24,test_25,test_26,test_27,test_28,test_29,test_30,test_31,test_32,test_33,test_34,test_35,test_36,test_37,test_38,test_39,test_40,test_41,test_42,test_43,test_44,test_45,test_46,test_47,test_48,test_49,test_50,test_51,test_52,test_53,test_54,test_55,test_56,test_57,test_58,test_59,test_60,test_61,test_62,test_63,test_64,test_65,test_66,test_67,test_68,test_69,test_70,test_71,test_72,test_73,test_74,test_75,test_76,test_77,test_78,test_79,test_80,test_81,test_82,test_83,test_84,test_85,test_86,test_87,test_88,test_89,test_90,test_91,test_92,test_93,test_94,test_95,test_96,test_97,test_98,test_99,test_100
0.07702893612547479,0.07773465248798832,0.07575864672079818,0.0765702206162958,0.07664079224229406,0.07925194249821639,0.07695836450374864,0.07671136389392505,0.07529993124579618,0.07632321966897457,0.07798165311917253,0.07709950770020758,0.07999294464809632,0.07664079211840252,0.07794636735957491,0.07484121551446685,0.07960480081618106,0.07607621901642976,0.0783697972949936,0.07618207648105987,0.07346506882031713,0.07674664935661019,0.07706422198119514,0.07808751050690445,0.07939308583138323,0.0757939326662331,0.07819336808260975,0.07674664974110115,0.0742766425427938,0.0778757957314406,0.07431192828957504,0.07833451140296022,0.07914608511902871,0.07829922558996108,0.07547636019544454,0.07561750350297865,0.0755116462092334,0.08016937373018046,0.07794636737452734,0.07586450413843497,0.07727593698735358,0.07911079939147202,0.07766408083635733,0.07858151212813111,0.07678193546011361,0.07544107457041876,0.07688779274531461,0.07928722837102523,0.08038108853127705,0.07762879488237817,0.07593507579006596,0.07875794119312676,0.07522935949163426,0.07748765177990592,0.07692307863948405,0.08041637447243984,0.07942837164011024,0.07829922547888592,0.07582921845146344,0.07988708728599712,0.07653493491437184,0.07766408086199006,0.079463657265136,0.08027523122898755,0.07826393966588678,0.0777346525050768,0.07660550639511796,0.07561750347307379,0.07709950791381368,0.07752293758008869,0.08076923248281173,0.0760762190634231,0.07547636024671,0.07829922565831504,0.08158080643811903,0.0759703617611336,0.07660550642075069,0.07805222477934776,0.07410021355256029,0.0776287950618073,0.07649964887495024,0.07568807505207871,0.07268878084889382,0.0781580822268894,0.07812279637544117,0.07653493463241179,0.0781933680740655,0.07611150486787799,0.07681722118980636,0.07537050267954895,0.0782992255344235,0.07805222476225927,0.07649964892194358,0.07621736239231781,0.07607621914886553,0.07801693899198137,0.07477064395682254,0.07858151197647077,0.0769936502996593,0.07861679794540236
0.0772406511060005,0.07826393977696196,0.07223006527563301,0.07822865386143191,0.08034580285925794,0.07893437028375513,0.07717007943728102,0.07798165295255977,0.07985180140037192,0.07441778577556578,0.0763937913889595,0.07776993825826622,0.0768172213243782,0.0787226553053655,0.07597036182948756,0.07872265521351487,0.07798165322170345,0.07738179437935762,0.07815808212008635,0.07766408078509186,0.07854622631513197,0.07529993116462586,0.07886379844415078,0.07649964882368478,0.07727593675238686,0.07748765163465378,0.07833451132606202,0.0787932269676768,0.0786873694304206,0.07907551333068981,0.07808751068633357,0.07734650836984089,0.08013408780610616,0.0780169389022668,0.08006351625273397,0.07540578855235779,0.07967537225420596,0.07505293043518285,0.0776993666749892,0.07776993830525956,0.07911079918213804,0.07685250705620701,0.07932251404731645,0.07769936660663523,0.07787579556055572,0.07766408079363611,0.07773465256488651,0.08140437744574947,0.07836979716469389,0.075370502786352,0.07692307861812345,0.07551164615796793,0.07699365032956414,0.07780522409689809,0.07611150482515676,0.07798165316189375,0.07678193546865784,0.07794636743433705,0.07805222482206899,0.07847565459514703,0.07688779298455344,0.07699365021848897,0.07861679784714355,0.07801693904751894,0.07748765189525321,0.07621736257174692,0.07875794123798403,0.07836979703653023,0.07851094046795587,0.07649964901593027,0.07836979718178237,0.07445307158002067,0.07872265531177368,0.07791108153589549,0.08059280353743549,0.07748765165387832,0.07798165309781191,0.07907551341613225,0.07851094042523465,0.07664079225083831,0.07960480083326954,0.07833451121712291,0.07582921836815706,0.07918137074405447,0.07801693906033531,0.08023994533054599,0.07826393966161467,0.07815808243195124,0.07731122277471997,0.07625264816686785,0.07717007936038282,0.07660550639939008,0.07896965606257729,0.08045166024271774,0.07724065096074835,0.07847565469767796,0.07889908451347723,0.07896965591305304,0.0779816533285065,0.07702893616392388
0.08136909150885879,0.08228652279208833,0.08369795550002691,0.08189837859277058,0.08140437728768095,0.07942837161020538,0.08242766579202966,0.08218066520356668,0.08263938090499115,0.08405081330533695,0.08154552060803143,0.08567396099380123,0.07960480059403072,0.08387438427451827,0.08623853399324308,0.08500353062371595,0.0841213851449413,0.08465067222885309,0.08383909865803675,0.08158080638685358,0.0845448149265636,0.08292166730218115,0.08369795531205354,0.08147494892649558,0.08052223181104236,0.0838743844966686,0.08436838576758127,0.08253352350230679,0.0814043773560349,0.08020465956026808,0.07918137101747028,0.08436838567359459,0.08323923973879273,0.08242766576426086,0.08341566869698533,0.08193366458519884,0.08161609217421997,0.0838038127254182,0.0821453794204724,0.08641496316076966,0.08285109578725805,0.08200423627955104,0.08288638170706022,0.08069866103624258,0.08129851987858841,0.08189837879356031,0.08433310014682763,0.08299223912042489,0.08306281057126615,0.0815808062757784,0.08115737659668704,0.08461538645857518,0.07985180148154224,0.08094566165888255,0.0811220905273606,0.08115737662659189,0.08288638151908687,0.08535638864263209,0.07995765886072992,0.08313338216735956,0.08242766616797638,0.08288638151054262,0.07844036873942668,0.08105151924740421,0.0833803830206941,0.08415667098357317,0.07956951498609344,0.08027523122898755,0.0791107992334035,0.08352152609326151,0.08179252127339261,0.07935779999702348,0.08059280340072758,0.08338038300360562,0.08168666373186428,0.08355681213695522,0.0825335233378301,0.08426252806371232,0.08158080613907051,0.0858856758077142,0.08390967010460589,0.08535638875370725,0.08472124400437561,0.08108680496641665,0.08087509016532006,0.07660550633530824,0.08401552768031118,0.08338038304632683,0.0850388164196266,0.08165137802994032,0.08313338210754985,0.08249823752483097,0.08112209063416365,0.08235709419593625,0.08059280355452397,0.0811573766479525,0.08341566892767992,0.08436838573340429,0.08140437716806154,0.08154552065075264
0.09869442716104175,0.10275229596353452,0.10204657960956523,0.09703599377919775,0.09738885178956963,0.09816513990624509,0.09710656516595718,0.0971418511327527,0.10042343230559192,0.10021171717126982,0.09668313552104278,0.10204657984025982,0.09502470228445092,0.09643613491549131,0.09823571163477428,0.09453070070594549,0.09682427884139326,0.0956245610370822,0.09858856970495587,0.10042343219451674,0.10028228866056017,0.09643613469334097,0.095977419149985,0.09565984692697951,0.09869442687053746,0.10067043267190456,0.0979534251820467,0.09795342478046723,0.09650670655003381,0.0956598468842583,0.09770642417491576,0.09756528093146348,0.10038814632170791,0.09693013640001007,0.10098800533921073,0.10155257823612165,0.0954834180243245,0.09756528102545016,0.10204657965228645,0.09978828755198815,0.0979534249513521,0.0959068474385443,0.09717713691157485,0.09703599378774198,0.10038814632170791,0.09982357326245636,0.10176429307993946,0.10052928940281955,0.09855328397739918,0.09671842124005524,0.0986591410319056,0.0982709973708752,0.10014114538293092,0.10021171713709284,0.09184897871294972,0.09978828741955238,0.09654199234594446,0.10458715844455116,0.09647142066013649,0.09812985398217079,0.10003528802937597,0.09961185824775368,0.09756528111943684,0.0979887106789088,0.0984474264444151,0.09460127224650132,0.10052928962496989,0.09742413766237848,0.09481298750898706,0.09918842860283929,0.09992943053911311,0.0967184214280286,0.09657727809913388,0.09470712986492782,0.09961185832678793,0.0979534249684406,0.09710656538810752,0.10014114568197946,0.0988708560893295,0.09749470917730156,0.09558927525826004,0.09950600096255267,0.09834156904813893,0.09827099741359643,0.09477770134567394,0.09622441986661165,0.10239943763702561,0.09971771559276439,0.10049400358982043,0.09477770132004121,0.0982357116005973,0.09908257133472677,0.09407198518395014,0.097494709262744,0.09880028439497729,0.0978122817420768,0.09791813927506088,0.0971065653667469,0.09820042555690359,0.09851799803623638
0.1283345129340887,0.1260056491223497,0.12921665860083673,0.12762879662284063,0.1285462280854993,0.1268172231289225,0.129287230192658,0.12554693324576824,0.12822865583686108,0.1293225159031262,0.125299932999075,0.13129852175575876,0.12431193009839145,0.12942837368389334,0.13225123850167345,0.12745236736987162,0.1306633768654471,0.1298870890478202,0.1282992273945054,0.12759351091237242,0.12971066005117848,0.12671136562157115,0.12946365932600762,0.12900494344942615,0.12784051148374692,0.1296753743065333,0.13179252315483508,0.12784051158627785,0.13105152089387997,0.13119266426549592,0.12657022235248613,0.1270995095303846,0.12607622083379041,0.12540579016465658,0.12805222646427264,0.12671136586080997,0.1270995095645616,0.12593507735964354,0.12971065999991302,0.12420607245433221,0.12946365939436155,0.13002823226563975,0.12582922034785834,0.12776994002863354,0.12745236759202197,0.1268172228213297,0.13129852146525448,0.12861679955770117,0.12575864838009035,0.13193366645809707,0.12717008091714405,0.12978123169426525,0.126217363983256,0.13038109039563103,0.13020466151860877,0.12752293933763964,0.1262173641370524,0.13115737848667378,0.12607622064581706,0.13013408953375225,0.12554693369006892,0.12727593862955724,0.1292166583274209,0.12734651003340516,0.12971066003409001,0.12717008131017926,0.12646436477678086,0.1286520856270276,0.12388850020569399,0.12939308766583238,0.12889908611295967,0.1274876533879326,0.1307692344240639,0.12600564901981878,0.1284756565107665,0.12632322143934188,0.13031051890634068,0.12759351092946092,0.13098094952420905,0.12953423096909436,0.12551164765491946,0.12879322875940472,0.1265702222499552,0.13246295365308403,0.12946365925765366,0.12808751226018328,0.1293225160398341,0.12808751239689117,0.12808751244815664,0.1288990860616942,0.1267113653994208,0.1269936518350599,0.12586450593870716,0.12547636201280518,0.12932251615945353,0.12964008810049896,0.12579393431270888,0.12692308022615012,0.1290049436032225,0.1247706453256104
0.17071277791753822,0.16863091474552766,0.1696542032541485,0.16968948906714762,0.16658433755740112,0.16799577014572029,0.1699364899290264,0.16503176161455452,0.16884262976023034,0.170324633666955,0.17311221340654093,0.16767819776037418,0.16954834588350506,0.16750176852449364,0.16845448544129318,0.16845448574888597,0.16683133807751016,0.17081863504894282,0.16651376586304892,0.16926605920862714,0.16968948927220948,0.17099506411393847,0.17579393478435115,0.16792519828048322,0.17053634871583467,0.1677487691471336,0.16753705464508556,0.16831334232600456,0.1656316203671858,0.1684191998675329,0.1716654949368687,0.16781934097819373,0.1680663418742495,0.17007763304431503,0.1672194818837927,0.16379675792034612,0.16976006076149985,0.1688426294526376,0.17173606625527416,0.1713479225173456,0.17085392096447288,0.16810162775560256,0.16912491616169248,0.1714890655301033,0.16584333521100358,0.1715243515139873,0.1699364898264955,0.17103034985858365,0.16771348353919632,0.1685250570331145,0.16679605229868802,0.16824277080253724,0.16944248830779976,0.176923081210447,0.17325335628259073,0.16753705450837766,0.16838391367858702,0.16686662392468626,0.1721594963530335,0.16799576976977357,0.16729005354396795,0.17434721665644864,0.16697248136368367,0.17522936187889598,0.16827805668389031,0.17173606587932744,0.16764291187902108,0.16654905157351713,0.1657727636191823,0.16824277063165236,0.17350035700776162,0.17071277784918426,0.17000706145249375,0.16563162046971672,0.1651023332405528,0.16513761915608283,0.17589979256511828,0.17110092162128981,0.17021877627922308,0.16788991236495315,0.17046577678224362,0.17004234740220078,0.17325335645347562,0.17064220622318602,0.1737120723300571,0.16803105582201153,0.1731474988777703,0.17124206490746333,0.17046577685059758,0.17113620740011198,0.1703952053613072,0.16997177587873344,0.16626676517205502,0.16721948222556246,0.16965420345921034,0.16976006059061496,0.16580804936382748,0.16619619340934885,0.17240649683896556,0.16845448581723993
0.2902964115006114,0.28969655233785646,0.30465773841656674,0.2913197005560639,0.2908609846453054,0.28697954466856945,0.2891672648694537,0.2867325439775756,0.28842626300153384,0.29301341930660635,0.30257587503949435,0.2926958463744286,0.2923782749460378,0.2940367078835811,0.2879675468173596,0.29036698305825576,0.2892378368372217,0.2940719936282263,0.2885321206455931,0.2920959878952131,0.28892026438352164,0.2879675474325451,0.29230770277320794,0.29156670097364196,0.30666902968916326,0.29082569890066023,0.2928017046336734,0.2926252755003238,0.2914255574482297,0.29124912817817217,0.28966126693498107,0.29167255820757754,0.2911079851995914,0.2919195586935096,0.2891672654162853,0.2876146894392617,0.29160198658157926,0.29075512631770667,0.2901905538565522,0.2870854020392129,0.2897318386976872,0.2943895664236961,0.28902612223264273,0.2855681122169582,0.28740297428785117,0.3070924594451528,0.2853211117993801,0.290402268734547,0.28599154183623987,0.2894495513050928,0.2912844144696489,0.28743826030591213,0.2910021282390717,0.2948129954961462,0.30984475313250076,0.2939661359158131,0.2887438358653576,0.29234298885962284,0.29336627743659766,0.293754421516296,0.28800283379237585,0.3061044563394074,0.2902964117056733,0.2917078439522227,0.29248413190655753,0.3045871666538606,0.2852858257129652,0.28789697594325475,0.2868736866827405,0.30529288270878135,0.30892732151604574,0.2931192766772498,0.29386027881858545,0.2887438354552339,0.2894848377332775,0.29114327121765243,0.29103741302676156,0.2909315555877642,0.28913197919316247,0.28955540922256784,0.2912844144696489,0.2892025510242226,0.29202541633756884,0.28863797863142204,0.2927311326659054,0.28920255122928445,0.28736768840649807,0.2958715707063675,0.30659845799481106,0.28849683537942555,0.29318984816654015,0.2896965527479802,0.2946365665678584,0.2913902719086463,0.2897318384242714,0.2899788389102035,0.28796754804773067,0.29244884677709787,0.2913902719086463,0.3042695944735763
0.43292166962536105,0.432604097171661,0.46785462709195025,0.4340508155046253,0.43408610131762443,0.4346153886493193,0.435074104218308,0.4329569555750681,0.4336979575113419,0.4354269624850072,0.46587862142729103,0.4312632364144019,0.43362738615875945,0.4342978161956192,0.43316867017964705,0.4334862424966392,0.43154552278168706,0.4352152474703045,0.4321806678257951,0.43214538173938016,0.4306633774567088,0.4347565319013158,0.43242766810666533,0.4350035325923097,0.46471418864136443,0.43320395599264616,0.4299929471464332,0.43299224125135927,0.4318630950986792,0.43066337759341666,0.42907551600845584,0.4334509569570559,0.4313690937166914,0.43218066755237927,0.43133380790369225,0.43013409026172184,0.4331333843666479,0.4300988045854306,0.4344389597210315,0.4345095313470298,0.4335215284463462,0.4316160945443932,0.43016937607472094,0.4348623893403132,0.43387438657633753,0.4661961933341595,0.4339096723893367,0.4343683879583254,0.43327452775535236,0.4349682466426027,0.4338038148136314,0.4304516627154219,0.43532110490930187,0.43465067459902634,0.4694424878566637,0.43175723779638975,0.43468596068544124,0.43175723779638975,0.43320395626606195,0.4305575200177114,0.43398024387862705,0.4664431933416139,0.4327452404236575,0.43401553010174987,0.43468596027531753,0.46249118324266664,0.4298518037577288,0.4350035324556018,0.4319336667246775,0.4608680350244592,0.4697600609939033,0.4332392420790611,0.4335215284463462,0.42854622867676095,0.43295695530165224,0.43038109095271576,0.43006351863572356,0.42914608804457777,0.4358151061545818,0.43556810546358793,0.43443895958432366,0.43175723779638975,0.43458010283632015,0.4303458052764245,0.43697953853038474,0.43189838104838624,0.4319689525376766,0.43525053328330365,0.465843335477584,0.4343683879583254,0.43002823282272445,0.43563867749970986,0.4336626718350507,0.43052223420471225,0.4310162355867001,0.432074809976674,0.4342625303826201,0.4345095312103219,0.4340508157780411,0.4677487686959975
0.5115384711038082,0.511220898923524,0.5478475766444425,0.5137967605383025,0.5104446091236324,0.5124911872345373,0.5105151832103729,0.5130204742928164,0.5127029021125321,0.5130204742928164,0.5474241470251608,0.513867335855414,0.5150317664540142,0.5145024781653641,0.5240296509561189,0.5118207581546328,0.5151729097060107,0.5112208970096133,0.5102681836130423,0.5125264741411997,0.5124911877813689,0.5113620413552731,0.5130204773003902,0.5128793317243594,0.5494001532366516,0.5161609121965706,0.5131263318685216,0.5127029025226558,0.5107974675270396,0.5152787676918398,0.5111856107864905,0.5240649363589943,0.5114326121610239,0.5092801792085717,0.5124559023784935,0.5136556204305877,0.5136203346175885,0.5224065012341246,0.5141143364097001,0.5194777795754442,0.5140790497764535,0.5123147593999128,0.5081863180486434,0.5143260506041553,0.5136909051499235,0.5504940120725457,0.5147494781728185,0.5155610550160802,0.5141849080356983,0.51259704563049,0.5129851888899409,0.5151729084756396,0.5151376243031353,0.5110444705420678,0.5457657140876175,0.5093860352804901,0.5117501857083872,0.5249470810004331,0.5173253448457893,0.5118913273198888,0.5148906233387256,0.5511291582103169,0.5117854723416337,0.5130910472858936,0.5094213206833655,0.5480592901553583,0.5126323314434892,0.5121383307450408,0.5161256267936951,0.5492942959343622,0.5509880135912414,0.5134791905453445,0.5142554800718202,0.5131263321419375,0.5151376252600907,0.5100564677780921,0.5189132065674581,0.5260409405198666,0.5146083386119352,0.5117148992118485,0.5163726280315206,0.5229357899328985,0.5135850475742183,0.515455197303667,0.5160903408439881,0.5136909062435867,0.5236767921425881,0.5145377658922737,0.5481298627383119,0.5128440459113602,0.5144671950865229,0.5155257681094179,0.5133380489338428,0.513549763265006,0.5135497629915903,0.5130557606526471,0.512632331580197,0.5091390352730357,0.5123147585796654,0.5520818746144619
0.6117148968057895,0.6051870223579057,0.6578334550791924,0.6157374824952642,0.614608335112213,0.6063867424606183,0.6123500455410109,0.609033175838103,0.6100917513217401,0.6115031843885369,0.6594566049378946,0.6101270364511997,0.610621037286356,0.6135497604488233,0.6273817994178982,0.6114326133093703,0.6082568912331118,0.611256182467172,0.6125264709148932,0.6071983157494746,0.6120324717202318,0.6079393168655011,0.6105504692147631,0.6074806011598045,0.6664079072278574,0.6136203323482373,0.6094566066877558,0.6100211796957419,0.6107268965025561,0.61069160918577,0.6096683212923347,0.627805230267551,0.6166196271367029,0.6109386130210457,0.6197953481192983,0.6101623237679857,0.6083274606717836,0.6284756594841633,0.6109386100134718,0.6289343762835231,0.6100211810628209,0.612279472001102,0.612244186051395,0.6063161705612042,0.6117854692520351,0.6665490545810909,0.6098447504940383,0.6123147582242249,0.6148200505370394,0.6087861771977275,0.6082921744486608,0.6127029003900125,0.6128793301385477,0.6087156039312345,0.6621736115818724,0.6123500428068529,0.610479894581191,0.6308045225952743,0.6104798956748543,0.6096330358894593,0.6109033246105964,0.6604798933781615,0.6205010665666073,0.6092096058600539,0.6084333177006572,0.6592096030165296,0.6183839180600752,0.6116090411439948,0.6169019106331222,0.660762177968244,0.661079751789023,0.6115031857556159,0.6087861755572328,0.617148914194982,0.6151376232641552,0.6179604874838383,0.6123500422600212,0.6327099575908905,0.620042348947,0.6116443279139493,0.6137261896505268,0.6322159548418238,0.6102681802500278,0.6103740378257332,0.6099858940194506,0.6148906207959587,0.6257586528401856,0.6120324717202318,0.6617854685958372,0.6115384703382439,0.612949901764546,0.6111150392151754,0.6191249197229333,0.6111150400354228,0.6176076296272628,0.613196903685911,0.6085391752763626,0.6179957756208717,0.6105857524303121,0.6642554744121132
