ResNet,CNN,ProtoNet,Proposed
0.04115,0.043,,
0.0443,0.0432,,
0.0467,0.0474,,
0.0538,0.0537,,
0.0791,0.0701,,
0.1363,0.1073,,
0.183,0.1492,,
0.2389,0.206,,
0.3224,0.309,,
0.4232,0.4136,,
0.5365,0.489,,
0.6343,0.5457,,
0.7568,0.5962,,
0.8525,0.6254,,
0.9161,0.6274,,
0.9369,0.623,,
0.9481,0.6041,,
0.9498,0.594,,
0.9502,0.5923,,
0.9542,0.5856,,
0.955,0.5908,,
