ResNet,CNN,ProtoNet,Proposed
0.041,0.0415,,
0.0426,0.0414,,
0.0416,0.0412,,
0.0399,0.0416,,
0.0392,0.0412,,
0.0353,0.0414,,
0.0357,0.0413,,
0.0399,0.0425,,
0.0426,0.0425,,
0.1767,0.089,,
0.5393,0.5038,,
0.6366,0.6067,,
0.7455,0.6933,,
0.8398,0.7599,,
0.9029,0.7951,,
0.9324,0.8223,,
0.9426,0.8271,,
0.9452,0.8258,,
0.9479,0.8213,,
0.9504,0.8203,,
0.9518,0.8192,,
