ResNet,CNN,ProtoNet,Proposed
0.0424,0.0442,,0.0414
0.0461,0.0444,,0.0429
0.0459,0.0445,,0.0459
0.0542,0.0519,,0.0545
0.0779,0.0665,,0.0681
0.132,0.1139,,0.0912
0.1827,0.1778,,0.1587
0.2292,0.2416,,0.2542
0.3175,0.3296,,0.3171
0.413,0.4309,,0.4168
0.5253,0.5252,,0.5391
0.6101,0.6098,,0.6598
0.7136,0.7017,,0.7822
0.816,0.7835,,0.8793
0.8739,0.8246,,0.9319
0.898,0.8396,,0.9482
0.906,0.8463,,0.9552
0.9074,0.846,,0.9561
0.907,0.8477,,0.955
0.9094,0.8451,,0.9576
0.9107,0.8483,,0.9574
